"Population; key figures"
"Subjects_1";"Subjects_2";"Subjects_3";"Periods";"1950";"1955";"1960";"1965";"1970";"1975";"1980";"1985";"1990";"1995";"2000";"2005";"2010";"2015";"2016";"2017"
"Population by sex";"Males";"Males";"number";"4998251";"5320759";"5686152";"6090529";"6465081";"6771613";"6994280";"7149620";"7358482";"7627482";"7846317";"8065979";"8203476";"8372858";"8417135";"8475102"
"Population by sex";"Females";"Females";"number";"5028522";"5359264";"5731102";"6121740";"6492540";"6827479";"7096734";"7304213";"7534092";"7796640";"8017633";"8239547";"8371513";"8527868";"8561985";"8606405"
"Population by marital status";"Never married";"Never married";"number";"5284496";"5481327";"5730715";"6025009";"6104254";"6099415";"6190940";"6285610";"6464971";"6735614";"7048699";"7450192";"7701812";"8031966";"8112153";"8201061"
"Population by marital status";"Married";"Married";"number";"4232241";"4658053";"5103163";"5547842";"6121941";"6626364";"6835014";"6869619";"6956510";"7081536";"7071202";"7002557";"6875088";"6753259";"6727554";"6718468"
"Population by marital status";"Widowed";"Widowed";"number";"435532";"459762";"495131";"549790";"616504";"688197";"751355";"808543";"853599";"875647";"882071";"876605";"866945";"862705";"860883";"859720"
"Population by marital status";"Divorced";"Divorced";"number";"74504";"80881";"88245";"89628";"114922";"185116";"313705";"490061";"617494";"731325";"861978";"976172";"1131144";"1252796";"1278530";"1302258"
"Population by age";"Population by age, numbers";"Younger than 20 years";"number";"3742499";"4000883";"4331042";"4631281";"4657606";"4646232";"4431785";"4084506";"3822205";"3760155";"3873008";"3987957";"3928334";"3828059";"3818499";"3817173"
"Population by age";"Population by age, numbers";"20 to 40 years";"number";"2951369";"2997145";"3098779";"3227357";"3650362";"4026470";"4441579";"4795956";"4912128";"4981153";"4761504";"4467783";"4192772";"4134447";"4163702";"4206639"
"Population by age";"Population by age, numbers";"40 to 65 years";"number";"2562311";"2792024";"2968611";"3191097";"3338678";"3466969";"3602326";"3843625";"4252617";"4649238";"5076996";"5561116";"5915555";"5930535";"5911611";"5898035"
"Population by age";"Population by age, numbers";"65 to 80 years";"number";"670995";"765017";"864423";"976752";"1089232";"1201043";"1303447";"1359038";"1477909";"1557819";"1652103";"1715097";"1890334";"2272709";"2336560";"2395385"
"Population by age";"Population by age, numbers";"80 years or older";"number";"99599";"124954";"154399";"185782";"221743";"258378";"311877";"370708";"427715";"475757";"500339";"573573";"647994";"734976";"748748";"764275"
"Population by age";"Population by age, rates";"Younger than 20 years";"%";"37.3";"37.5";"37.9";"37.9";"35.9";"34.2";"31.5";"28.3";"25.7";"24.4";"24.4";"24.5";"23.7";"22.7";"22.5";"22.3"
"Population by age";"Population by age, rates";"20 to 40 years";"%";"29.4";"28.1";"27.1";"26.4";"28.2";"29.6";"31.5";"33.2";"33.0";"32.3";"30.0";"27.4";"25.3";"24.5";"24.5";"24.6"
"Population by age";"Population by age, rates";"40 to 65 years";"%";"25.6";"26.1";"26.0";"26.1";"25.8";"25.5";"25.6";"26.6";"28.6";"30.1";"32.0";"34.1";"35.7";"35.1";"34.8";"34.5"
"Population by age";"Population by age, rates";"65 to 80 years";"%";"6.7";"7.2";"7.6";"8.0";"8.4";"8.8";"9.3";"9.4";"9.9";"10.1";"10.4";"10.5";"11.4";"13.4";"13.8";"14.0"
"Population by age";"Population by age, rates";"80 years or older";"%";"1.0";"1.2";"1.4";"1.5";"1.7";"1.9";"2.2";"2.6";"2.9";"3.1";"3.2";"3.5";"3.9";"4.3";"4.4";"4.5"
"Population by age";"Average age";"Males";"year";"30.3";"30.7";"31.1";"31.3";"31.6";"32.2";"33.2";"34.4";"35.3";"36.1";"37.0";"37.9";"39.1";"40.4";"40.6";"40.7"
"Population by age";"Average age";"Females";"year";"31.3";"31.9";"32.4";"32.8";"33.4";"34.3";"35.6";"36.9";"37.9";"38.6";"39.4";"40.0";"41.1";"42.1";"42.3";"42.5"
"Private households";"One-person households";"One-person households";"x 1,000";"245";"310";"387";"513";"679";"883";"1085";"1556";"1813";"2109";"2272";"2449";"2670";"2868";"2906";"2961"
"Private households";"Multi-person households";"Multi-person households";"x 1,000";"2290";"2538";"2784";"2995";"3307";"3678";"3921";"4057";"4249";"4360";"4529";"4642";"4717";"4797";"4814";"4833"
"Private households";"Average household size";"Average household size";"number";"3.93";"3.71";"3.56";"3.45";"3.21";"2.95";"2.78";"2.54";"2.42";"2.35";"2.30";"2.27";"2.22";"2.17";"2.17";"2.16"
"© Statistics Netherlands, Den Haag/Heerlen 31-1-2018"
